Date,Close
2024-08-13,221.0268
2024-08-14,221.4763
2024-08-15,224.4730
2024-08-16,225.8016
2024-08-19,225.6418
2024-08-20,226.2611
2024-08-21,226.1512
2024-08-22,224.2832
2024-08-23,226.5907
2024-08-26,226.9303
2024-08-27,227.7794
2024-08-28,226.2411
2024-08-29,229.5375
2024-08-30,228.7483
2024-09-03,222.5252
2024-09-04,220.6073
2024-09-05,222.1356
2024-09-06,220.5773
2024-09-09,220.6672
2024-09-10,219.8681
2024-09-11,222.4153
2024-09-12,222.5252
2024-09-13,222.2555
2024-09-16,216.0823
2024-09-17,216.5517
2024-09-18,220.4475
2024-09-19,228.6185
2024-09-20,227.9492
2024-09-23,226.2211
2024-09-24,227.1201
2024-09-25,226.1212
2024-09-26,227.2700
2024-09-27,227.5397
2024-09-30,232.7439
2024-10-01,225.9614
2024-10-02,226.5308
2024-10-03,225.4220
2024-10-04,226.5508
2024-10-07,221.4464
2024-10-08,225.5219
2024-10-09,229.2877
2024-10-10,228.7883
2024-10-11,227.2999
2024-10-14,231.0458
2024-10-15,233.5930
2024-10-16,231.5253
2024-10-17,231.8949
2024-10-18,234.7417
2024-10-21,236.2201
2024-10-22,235.6008
2024-10-23,230.5064
2024-10-24,230.3166
2024-10-25,231.1557
2024-10-28,233.1435
2024-10-29,233.4132
2024-10-30,229.8471
2024-10-31,225.6617
2024-11-01,222.6650
2024-11-04,221.7660
2024-11-05,223.2044
2024-11-06,222.4752
2024-11-07,227.2300
2024-11-08,226.9600
2024-11-11,224.2300
2024-11-12,224.2300
2024-11-13,225.1200
2024-11-14,228.2200
2024-11-15,225.0000
2024-11-18,228.0200
2024-11-19,228.2800
2024-11-20,229.0000
2024-11-21,228.5200
2024-11-22,229.8700
2024-11-25,232.8700
2024-11-26,235.0600
2024-11-27,234.9300
2024-11-29,237.3300
